"Date","Desktop","Mobile","Tablet"
2009-01,99.76,0.24,0
2009-02,99.66,0.34,0
2009-03,99.47,0.53,0
2009-04,99.69,0.31,0
2009-05,99.68,0.32,0
2009-06,99.67,0.33,0
2009-07,99.68,0.32,0
2009-08,99.65,0.35,0
2009-09,99.66,0.34,0
2009-10,99.66,0.34,0
2009-11,99.59,0.41,0
2009-12,99.54,0.46,0
2010-01,99.38,0.62,0
2010-02,99.38,0.62,0
2010-03,99.33,0.67,0
2010-04,99.3,0.7,0
2010-05,99.26,0.74,0
2010-06,99.15,0.85,0
2010-07,99.17,0.83,0
2010-08,99.11,0.89,0
2010-09,99.03,0.97,0
2010-10,98.96,1.04,0
2010-11,98.93,1.07,0
2010-12,98.83,1.17,0
2011-01,98.65,1.35,0
2011-02,98.46,1.54,0
2011-03,98.39,1.61,0
2011-04,98.33,1.67,0
2011-05,98.11,1.89,0
2011-06,98.12,1.88,0
2011-07,98.09,1.91,0
2011-08,97.87,2.13,0
2011-09,97.83,2.17,0
2011-10,98.08,1.92,0
2011-11,98.1,1.9,0
2011-12,97.46,2.54,0
2012-01,97.46,2.54,0
2012-02,97.36,2.64,0
2012-03,97.25,2.75,0
2012-04,97.03,2.97,0
2012-05,97.06,2.94,0
2012-06,96.96,3.04,0
2012-07,96.6,3.4,0
2012-08,95.19,3.96,0.85
2012-09,94.66,4.41,0.92
2012-10,94.61,4.45,0.94
2012-11,94.37,4.69,0.94
2012-12,94.13,4.67,1.2
2013-01,92.65,5.93,1.42
2013-02,92.09,6.4,1.51
2013-03,91.8,6.55,1.65
2013-04,91.28,7.01,1.71
2013-05,90.82,7.28,1.89
2013-06,88.81,8.88,2.31
2013-07,87.91,9.65,2.44
2013-08,87.27,10.13,2.6
2013-09,86.86,10.44,2.7
2013-10,85.56,12.04,2.4
2013-11,86.8,10.8,2.4
2013-12,86,11.23,2.77
2014-01,84.77,12.05,3.18
2014-02,82.79,14.1,3.11
2014-03,81.47,15.42,3.11
2014-04,80.95,15.87,3.17
2014-05,74.4,22.02,3.58
2014-06,74.96,21.55,3.49
2014-07,66.12,29.74,4.14
2014-08,68.88,27.04,4.08
2014-09,69.72,26.41,3.87
2014-10,61.91,34.42,3.68
2014-11,63.65,32.6,3.75
2014-12,66.9,29.57,3.54
2015-01,71.36,25.05,3.59
2015-02,70.53,26.11,3.36
2015-03,69.36,27.34,3.3
2015-04,67.99,28.79,3.22
2015-05,68.09,28.5,3.41
2015-06,71.8,25.11,3.1
2015-07,70.94,25.82,3.24
2015-08,73.31,23.92,2.77
2015-09,74.59,22.91,2.5
2015-10,72.08,25.29,2.63
2015-11,70.38,27.13,2.49
2015-12,66.37,31.06,2.57
2016-01,60.3,36.87,2.83
2016-02,66.36,30.81,2.84
2016-03,67.35,29.88,2.77
2016-04,66,31.26,2.74
2016-05,67.14,30.2,2.66
2016-06,67.34,30.08,2.58
2016-07,65.23,32.12,2.66
2016-08,66.21,31.4,2.39
2016-09,64.47,33.1,2.43
2016-10,62.87,34.69,2.44
2016-11,62.2,35.41,2.39
2016-12,55.9,41.67,2.44
2017-01,51.94,45.37,2.69
2017-02,53.34,43.92,2.75
2017-03,58.42,39.21,2.37
2017-04,58.47,39.19,2.34
2017-05,57.66,40.02,2.32
2017-06,56.49,41.23,2.28
2017-07,55.5,42.24,2.27
2017-08,55.6,42.28,2.11
2017-09,53.08,44.89,2.03
2017-10,56.01,42.02,1.97
2017-11,59.65,38.48,1.87
2017-12,55.36,42.58,2.06
2018-01,50.61,47.22,2.18
2018-02,50.93,46.96,2.11
2018-03,53.75,44.25,1.99
2018-04,57.09,41.07,1.84
2018-05,58.17,40.12,1.71
2018-06,58.13,40.21,1.67
2018-07,54.86,43.19,1.94
2018-08,57.5,40.84,1.65
2018-09,55.38,42.91,1.71
2018-10,60.76,37.78,1.46
2018-11,63.21,35.45,1.34
2018-12,59.67,38.9,1.44
2019-01,55.37,43.28,1.35
2019-02,56.58,42.09,1.32
2019-03,58.48,40.1,1.42
2019-04,61.74,36.97,1.29
2019-05,60.3,38.42,1.28
2019-06,63.25,35.47,1.28
2019-07,61.81,36.87,1.33
2019-08,61.12,37.67,1.21
2019-09,58.21,40.51,1.28
2019-10,56.47,42.42,1.11
2019-11,55.16,43.83,1.01
2019-12,55.8,43.27,0.93
2020-01,55.27,43.75,0.98
2020-02,51.66,47.33,1
2020-03,55.57,43.46,0.97
2020-04,53.34,45.55,1.11
2020-05,56.69,42.25,1.06
2020-06,56.46,42.53,1.01
2020-07,55.58,43.46,0.96
2020-08,52.45,46.68,0.87
2020-09,53.95,45.17,0.88
2020-10,56.35,42.83,0.82
2020-11,43.91,54.97,1.12
2020-12,41.04,57.79,1.17
2021-01,37.08,61.54,1.38
2021-02,35.23,63.15,1.62
2021-03,38.77,59.7,1.53
2021-04,38.84,59.74,1.41
2021-05,40.52,58.43,1.05
2021-06,43.13,55.83,1.04
2021-07,42.51,56.33,1.16
2021-08,41.43,57.45,1.12
2021-09,41.49,57.48,1.03
2021-10,44.73,54.23,1.05
2021-11,46.43,52.51,1.06
2021-12,46.34,52.58,1.08
2022-01,41.96,56.93,1.11
2022-02,39.4,59.44,1.16
2022-03,40.63,58.26,1.11
2022-04,38.38,60.49,1.13
2022-05,41.03,57.84,1.13
2022-06,43.12,55.75,1.13
2022-07,42.47,56.38,1.15
2022-08,42.41,56.54,1.05
2022-09,44.18,54.81,1.02
2022-10,47.64,51.47,0.89
2022-11,41.01,58.01,0.98
2022-12,39.95,59.08,0.97
2023-01,40.51,58.45,1.04
2023-02,40.05,58.97,0.98
2023-03,45.34,53.66,1
2023-04,47.02,52,0.98
2023-05,49.48,49.59,0.93
2023-06,41.52,57.47,1.02
2023-07,40.7,58.22,1.08
2023-08,43.56,55.38,1.06
2023-09,45,53.95,1.05
2023-10,46.95,52.12,0.93
2023-11,46.33,52.69,0.98
2023-12,47.18,51.79,1.03
2024-01,54.25,44.83,0.93
2024-02,45.29,53.63,1.08
2024-03,50.73,48.23,1.04
2024-04,50.08,48.96,0.96
2024-05,62.2,37.05,0.75
2024-06,67.22,32.07,0.71
2024-07,60.55,38.53,0.92
2024-08,54.34,44.73,0.94
2024-09,46.52,52.4,1.08
2024-10,51.24,47.85,0.91
2024-11,51.52,47.56,0.92
2024-12,50.18,48.9,0.92
2025-01,46.54,52.48,0.98
2025-02,43.52,55.54,0.94
2025-03,45.93,53.22,0.86
2025-04,45.46,53.52,1.03
2025-05,44.36,54.73,0.92
2025-06,43.97,55.13,0.9
2025-07,50.87,48.3,0.84
2025-08,51.36,47.78,0.86
